,attention,meditation,raw_value,timestamp
clip1,0,0,2,4.453999996185303
clip1,0,0,-8,4.453999996185303
clip1,0,0,-8,4.454999923706055
clip1,0,0,-24,4.454999923706055
clip1,0,0,-37,4.456000089645386
clip1,0,0,-33,4.466000080108643
clip1,0,0,-33,4.4670000076293945
clip1,0,0,-52,4.4679999351501465
clip1,0,0,-73,4.4679999351501465
clip1,0,0,-83,4.4690001010894775
clip1,0,0,-88,4.4690001010894775
clip1,0,0,-102,4.4700000286102295
clip1,0,0,-114,4.4700000286102295
clip1,0,0,-118,4.4700000286102295
clip1,0,0,-113,4.470999956130981
clip1,0,0,-114,4.492000102996826
clip1,0,0,-122,4.493000030517578
clip1,0,0,-118,4.49399995803833
clip1,0,0,-97,4.49399995803833
clip1,0,0,-91,4.494999885559082
clip1,0,0,-117,4.494999885559082
clip1,0,0,-140,4.496000051498413
clip1,0,0,-121,4.496000051498413
clip1,0,0,-131,4.496999979019165
clip1,0,0,-187,4.506999969482422
clip1,0,0,-229,4.509000062942505
clip1,0,0,-235,4.509000062942505
clip1,0,0,-233,4.509999990463257
clip1,0,0,-244,4.509999990463257
clip1,0,0,-274,4.509999990463257
clip1,0,0,-281,4.510999917984009
clip1,0,0,-259,4.510999917984009
clip1,0,0,-235,4.51200008392334
clip1,0,0,-242,4.51200008392334
clip1,0,0,-237,4.53600001335144
clip1,0,0,-233,4.536999940872192
clip1,0,0,-243,4.537999868392944
clip1,0,0,-278,4.539000034332275
clip1,0,0,-331,4.539000034332275
clip1,0,0,-366,4.539000034332275
clip1,0,0,-387,4.539999961853027
clip1,0,0,-401,4.539999961853027
clip1,0,0,-407,4.539999961853027
clip1,0,0,-411,4.540999889373779
clip1,0,0,-435,4.560999870300293
clip1,0,0,-468,4.562000036239624
clip1,0,0,-493,4.562999963760376
clip1,0,0,-509,4.562999963760376
clip1,0,0,-529,4.563999891281128
clip1,0,0,-583,4.565000057220459
clip1,0,0,-680,4.58899998664856
clip1,0,0,-772,4.589999914169312
clip1,0,0,-844,4.589999914169312
clip1,0,0,-907,4.591000080108643
clip1,0,0,-968,4.591000080108643
clip1,0,0,-1017,4.5920000076293945
clip1,0,0,-1063,4.5920000076293945
clip1,0,0,-1113,4.5929999351501465
clip1,0,0,-1142,4.5929999351501465
clip1,0,0,-1129,4.5929999351501465
clip1,0,0,-1091,4.5940001010894775
clip1,0,0,-1041,4.5940001010894775
clip1,0,0,-980,4.5950000286102295
clip1,0,0,-888,4.5950000286102295
clip1,0,0,-765,4.5950000286102295
clip1,0,0,-643,4.595999956130981
clip1,0,0,-546,4.595999956130981
clip1,0,0,-468,4.596999883651733
clip1,0,0,-386,4.596999883651733
clip1,0,0,-295,4.596999883651733
clip1,0,0,-216,4.5980000495910645
clip1,0,0,-167,4.598999977111816
clip1,0,0,-104,4.598999977111816
clip1,0,0,-9,4.598999977111816
clip1,0,0,104,4.599999904632568
clip1,0,0,173,4.599999904632568
clip1,0,0,217,4.599999904632568
clip1,0,0,279,4.601000070571899
clip1,0,0,343,4.601000070571899
clip1,0,0,387,4.601999998092651
clip1,0,0,408,4.617000102996826
clip1,0,0,406,4.617000102996826
clip1,0,0,411,4.618000030517578
clip1,0,0,435,4.61899995803833
clip1,0,0,450,4.61899995803833
clip1,0,0,435,4.619999885559082
clip1,0,0,407,4.619999885559082
clip1,0,0,391,4.621000051498413
clip1,0,0,377,4.621000051498413
clip1,0,0,368,4.621000051498413
clip1,0,0,365,4.631999969482422
clip1,0,0,357,4.631999969482422
clip1,0,0,327,4.632999897003174
clip1,0,0,298,4.634000062942505
clip1,0,0,277,4.634000062942505
clip1,0,0,257,4.634999990463257
clip1,0,0,258,4.634999990463257
clip1,0,0,289,4.634999990463257
clip1,0,0,322,4.635999917984009
clip1,0,0,331,4.635999917984009
clip1,0,0,324,4.6559998989105225
clip1,0,0,316,4.6570000648498535
clip1,0,0,327,4.6579999923706055
clip1,0,0,348,4.6579999923706055
clip1,0,0,360,4.658999919891357
clip1,0,0,359,4.66100001335144
clip1,0,0,360,4.661999940872192
clip1,0,0,363,4.662999868392944
clip1,0,0,360,4.664000034332275
clip1,0,0,368,4.664000034332275
clip1,0,0,393,4.678999900817871
clip1,0,0,429,4.678999900817871
clip1,0,0,451,4.680000066757202
clip1,0,0,448,4.680000066757202
clip1,0,0,428,4.680999994277954
clip1,0,0,412,4.680999994277954
clip1,0,0,421,4.681999921798706
clip1,0,0,441,4.681999921798706
clip1,0,0,442,4.683000087738037
clip1,0,0,467,4.687000036239624
clip1,0,0,459,4.687999963760376
clip1,0,0,412,4.687999963760376
clip1,0,0,365,4.688999891281128
clip1,0,0,346,4.688999891281128
clip1,0,0,346,4.690000057220459
clip1,0,0,337,4.690000057220459
clip1,0,0,323,4.690000057220459
clip1,0,0,326,4.690999984741211
clip1,0,0,328,4.690999984741211
clip1,0,0,324,4.7179999351501465
clip1,0,0,311,4.7190001010894775
clip1,0,0,295,4.7190001010894775
clip1,0,0,275,4.7200000286102295
clip1,0,0,266,4.720999956130981
clip1,0,0,260,4.720999956130981
clip1,0,0,245,4.720999956130981
clip1,0,0,229,4.721999883651733
clip1,0,0,231,4.721999883651733
clip1,0,0,241,4.7230000495910645
clip1,0,0,236,4.726999998092651
clip1,0,0,234,4.727999925613403
clip1,0,0,228,4.729000091552734
clip1,0,0,213,4.729000091552734
clip1,0,0,184,4.730000019073486
clip1,0,0,154,4.730000019073486
clip1,0,0,151,4.730000019073486
clip1,0,0,160,4.730999946594238
clip1,0,0,152,4.730999946594238
clip1,0,0,149,4.73199987411499
clip1,0,0,151,4.75600004196167
clip1,0,0,134,4.756999969482422
clip1,0,0,115,4.757999897003174
clip1,0,0,120,4.759000062942505
clip1,0,0,138,4.759000062942505
clip1,0,0,132,4.759999990463257
clip1,0,0,106,4.759999990463257
clip1,0,0,90,4.759999990463257
clip1,0,0,90,4.760999917984009
clip1,0,0,98,4.760999917984009
clip1,0,0,97,4.766000032424927
clip1,0,0,85,4.766999959945679
clip1,0,0,73,4.767999887466431
clip1,0,0,77,4.767999887466431
clip1,0,0,90,4.767999887466431
clip1,0,0,92,4.769000053405762
clip1,0,0,76,4.769000053405762
clip1,0,0,66,4.769999980926514
clip1,0,0,82,4.769999980926514
clip1,0,0,99,4.769999980926514
clip1,0,0,86,4.790999889373779
clip1,0,0,84,4.79200005531311
clip1,0,0,92,4.79200005531311
clip1,0,0,104,4.792999982833862
clip1,0,0,117,4.792999982833862
clip1,0,0,130,4.793999910354614
clip1,0,0,131,4.793999910354614
clip1,0,0,113,4.795000076293945
clip1,0,0,99,4.795000076293945
clip1,0,0,123,4.795000076293945
clip1,0,0,160,4.805999994277954
clip1,0,0,161,4.806999921798706
clip1,0,0,139,4.808000087738037
clip1,0,0,125,4.808000087738037
clip1,0,0,138,4.809000015258789
clip1,0,0,163,4.809000015258789
clip1,0,0,166,4.809000015258789
clip1,0,0,157,4.809999942779541
clip1,0,0,163,4.809999942779541
clip1,0,0,185,4.810999870300293
clip1,0,0,210,4.832000017166138
clip1,0,0,203,4.83299994468689
clip1,0,0,194,4.833999872207642
clip1,0,0,198,4.833999872207642
clip1,0,0,225,4.835000038146973
clip1,0,0,242,4.835000038146973
clip1,0,0,249,4.835999965667725
clip1,0,0,257,4.835999965667725
clip1,0,0,256,4.836999893188477
clip1,0,0,261,4.838000059127808
clip1,0,0,275,4.855000019073486
clip1,0,0,275,4.855999946594238
clip1,0,0,266,4.85699987411499
clip1,0,0,249,4.858000040054321
clip1,0,0,235,4.858000040054321
clip1,0,0,242,4.858999967575073
clip1,0,0,252,4.858999967575073
clip1,0,0,231,4.859999895095825
clip1,0,0,203,4.859999895095825
clip1,0,0,197,4.861999988555908
clip1,0,0,188,4.86299991607666
clip1,0,0,171,4.86299991607666
clip1,0,0,156,4.86299991607666
clip1,0,0,161,4.864000082015991
clip1,0,0,180,4.864000082015991
clip1,0,0,196,4.865000009536743
clip1,0,0,189,4.865000009536743
clip1,0,0,177,4.865000009536743
clip1,0,0,162,4.865999937057495
clip1,0,0,134,4.891000032424927
clip1,0,0,101,4.891999959945679
clip1,0,0,69,4.892999887466431
clip1,0,0,54,4.892999887466431
clip1,0,0,49,4.894000053405762
clip1,0,0,39,4.894000053405762
clip1,0,0,48,4.894000053405762
clip1,0,0,65,4.894999980926514
clip1,0,0,83,4.894999980926514
clip1,0,0,98,4.894999980926514
clip1,0,0,103,4.915999889373779
clip1,0,0,112,4.91700005531311
clip1,0,0,124,4.917999982833862
clip1,0,0,120,4.917999982833862
clip1,0,0,103,4.918999910354614
clip1,0,0,101,4.918999910354614
clip1,0,0,113,4.920000076293945
clip1,0,0,106,4.920000076293945
clip1,0,0,87,4.920000076293945
clip1,0,0,81,4.921000003814697
clip1,0,0,88,4.946000099182129
clip1,0,0,91,4.947000026702881
clip1,0,0,84,4.947999954223633
clip1,0,0,83,4.947999954223633
clip1,0,0,90,4.948999881744385
clip1,0,0,86,4.948999881744385
clip1,0,0,75,4.950000047683716
clip1,0,0,66,4.950000047683716
clip1,0,0,52,4.950000047683716
clip1,0,0,23,4.950999975204468
clip1,0,0,-21,4.958999872207642
clip1,0,0,-85,4.960000038146973
clip1,0,0,-162,4.960000038146973
clip1,0,0,-248,4.960999965667725
clip1,0,0,-355,4.960999965667725
clip1,0,0,-456,4.960999965667725
clip1,0,0,-557,4.961999893188477
